代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
600642,申能股份,10.12,100%,83.3%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600995,南网储能,15.65,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600674,川投能源,15.57,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600023,浙能电力,6.24,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600795,国电电力,5.16,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000531,穗恒运Ａ,7.69,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600236,桂冠电力,11.48,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600780,通宝能源,7.55,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601919,中远海控,14.47,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603977,国泰集团,15.07,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603633,徕木股份,8.62,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
001286,陕西能源,12.64,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000037,深南电A,11.46,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002771,真视通,16.26,100%,20.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603071,物产环能,14.24,100%,16.7%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000920,沃顿科技,12.42,100%,100.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002893,京能热力,11.86,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
601827,三峰环境,8.16,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600027,华电国际,5.44,100%,100.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000027,深圳能源,7.79,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603725,天安新材,11.67,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600886,国投电力,14.03,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600025,华能水电,9.98,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600999,招商证券,17.13,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600302,标准股份,10.02,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601939,建设银行,10.03,100%,0.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600116,三峡水利,6.89,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601988,中国银行,5.9,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600021,上海电力,19.8,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600377,宁沪高速,12.75,100%,0.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601298,青岛港,9.34,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000530,冰山冷热,6.24,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600956,新天绿能,9.41,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601156,东航物流,16.61,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
